,extension,status,join_date
426,abbott-lyon,1,2016-03-28 00:00:00
427,beachriot,0,2016-03-29 00:00:00
428,shop-lux-clothing,1,2016-03-30 00:00:00
429,alexandra-koumba,1,2016-03-30 00:00:00
430,the-duchesses,1,2016-03-31 00:00:00
431,jaxnblvd,1,2016-03-31 00:00:00
432,profound-aesthetic,1,2016-03-31 00:00:00
433,key-design,1,2016-03-31 00:00:00
434,iedm,1,2016-04-01 00:00:00
435,aim-n,1,2016-04-03 00:00:00
436,ivy-muse,1,2016-04-04 00:00:00
437,kitx,1,2016-04-04 00:00:00
438,wala-swim,1,2016-04-04 00:00:00
439,goldblack-premium-accessoires,0,2016-04-04 00:00:00
440,new-balance-au,1,2016-04-05 00:00:00
441,hoteletail1,1,2016-04-05 00:00:00
442,meltcosmetics,1,2016-04-05 00:00:00
443,heather-pullis-designs,1,2016-04-06 00:00:00
444,hot-as-hell,1,2016-04-06 00:00:00
445,living-royal,1,2016-04-06 00:00:00
446,mestiza-new-york,1,2016-04-06 00:00:00
447,designbyhumans,1,2016-04-06 00:00:00
448,sandaspa,0,2016-04-07 00:00:00
449,epokhe,1,2016-04-08 00:00:00
450,the-ridge-wallet,1,2016-04-08 00:00:00
451,android-homme,1,2016-04-09 00:00:00
452,izasoler,1,2016-04-10 00:00:00
453,napoleon-perdis,1,2016-04-11 00:00:00
454,urge-footwear,1,2016-04-12 00:00:00
455,august,1,2016-04-12 00:00:00
456,raging-mammoth,0,2016-04-12 00:00:00
457,misred-outfitters,0,2016-04-13 00:00:00
458,zingiber,1,2016-04-14 00:00:00
459,nectar,1,2016-04-15 00:00:00
460,penny-farthing-design-house,1,2016-04-15 00:00:00
461,modernshelving,1,2016-04-16 00:00:00
462,autobahnlife,1,2016-04-16 00:00:00
463,fillyboomaternity,1,2016-04-17 00:00:00
464,enclave-mfg-co,1,2016-04-18 00:00:00
465,taylor-morris-eyewear,0,2016-04-19 00:00:00
466,tobiasandthebear,1,2016-04-19 00:00:00
467,pebby-forevee,1,2016-04-19 00:00:00
468,riffraff,1,2016-04-19 00:00:00
469,bourbonandboweties,1,2016-04-20 00:00:00
470,mozaico,1,2016-04-20 00:00:00
471,charm-it,1,2016-04-20 00:00:00
472,house-of-creed,1,2016-04-20 00:00:00
473,stolengirlfriendsclub,1,2016-04-20 00:00:00
474,sundays-the-label,1,2016-04-21 00:00:00
475,ameliabyamelia,0,2016-04-21 00:00:00
476,brazil-wear,1,2016-04-21 00:00:00
477,janepopejewelry,1,2016-04-22 00:00:00
478,stargaze-jewelry,1,2016-04-24 00:00:00
479,Melissa_Harris_Jewellery,1,2016-04-25 00:00:00
480,theo-and-levi,1,2016-04-25 00:00:00
481,active-style,1,2016-04-25 00:00:00
482,mariapascual,1,2016-04-26 00:00:00
483,hummingbirdstraws,1,2016-04-26 00:00:00
484,beyourself-boutique,0,2016-04-26 00:00:00
485,taylorboardshortco,1,2016-04-28 00:00:00
486,sourceress,0,2016-04-28 00:00:00
487,glam-fit-bikinis,1,2016-04-28 00:00:00
488,banana-moon,1,2016-04-28 00:00:00
489,kollar-clothing,1,2016-04-28 00:00:00
490,lolli-swim,1,2016-04-29 00:00:00
491,whimsy-and-row,1,2016-04-30 00:00:00
492,luna-beach,1,2016-05-01 00:00:00
493,meadowlarkjewellery,1,2016-05-02 00:00:00
494,barberryandlace,1,2016-05-02 00:00:00
495,the-home-t,1,2016-05-02 00:00:00
496,raindrops,1,2016-05-02 00:00:00
497,crapeyewear,1,2016-05-03 00:00:00
498,CoolPencilCase,1,2016-05-03 00:00:00
499,elmcompany,1,2016-05-03 00:00:00
500,margaret-elizabeth,1,2016-05-03 00:00:00
501,darlinjewelry,0,2016-05-04 00:00:00
502,lucy-folk,1,2016-05-05 00:00:00
503,inner-fire,1,2016-05-06 00:00:00
504,mod-mode,0,2016-05-07 00:00:00
505,ora-boutique,0,2016-05-09 00:00:00
506,1item,0,2016-05-09 00:00:00
507,mission-critical,1,2016-05-09 00:00:00
508,saint-bowery,0,2016-05-10 00:00:00
509,crooked-howlet-designs,1,2016-05-10 00:00:00
510,uintah-collection,1,2016-05-10 00:00:00
511,father-rabbit,1,2016-05-10 00:00:00
512,style-addict,1,2016-05-11 00:00:00
513,charlotte-mills,1,2016-05-11 00:00:00
514,mara-carrizo-scalise,1,2016-05-11 00:00:00
515,carbon-and-hyde,1,2016-05-11 00:00:00
516,the-orchid-boutique,1,2016-05-12 00:00:00
517,vestique,1,2016-05-12 00:00:00
518,kindred-the-boheme-collective,0,2016-05-12 00:00:00
519,hip-digs-home-and-lifestyle,1,2016-05-12 00:00:00
520,berry-beer,0,2016-05-13 00:00:00
521,lush-fashion-lounge,1,2016-05-13 00:00:00
522,streetco,1,2016-05-16 00:00:00
523,n-philanthropy,1,2016-05-16 00:00:00
524,afends,0,2016-05-17 00:00:00
525,eurolight,0,2016-05-17 00:00:00
526,aje,0,2016-05-17 00:00:00
527,thearmoury,1,2016-05-17 00:00:00
528,koshikira,1,2016-05-17 00:00:00
529,amaro,1,2016-05-17 00:00:00
530,timka-jewelry,1,2016-05-18 00:00:00
531,the-clinton-company,0,2016-05-18 00:00:00
532,little-black-diamond,1,2016-05-18 00:00:00
533,wittybae,1,2016-05-18 00:00:00
534,colette,1,2016-05-18 00:00:00
535,supre,1,2016-05-18 00:00:00
536,gils-clothing-and-denim-bar,1,2016-05-19 00:00:00
537,sunmoonrain,1,2016-05-20 00:00:00
538,moxyo,1,2016-05-20 00:00:00
539,let-liv,1,2016-05-21 00:00:00
540,drift-lifestyle,1,2016-05-23 00:00:00
541,mrstraps,1,2016-05-23 00:00:00
542,the-cassette-company,0,2016-05-23 00:00:00
543,leina-broughton,1,2016-05-24 00:00:00
544,prettydogshop,0,2016-05-24 00:00:00
545,leonard-and-church,1,2016-05-24 00:00:00
546,joyalife,1,2016-05-24 00:00:00
547,makeup-mekka,1,2016-05-24 00:00:00
548,85online,1,2016-05-24 00:00:00
549,miranda-bennett-studio,0,2016-05-24 00:00:00
550,edge-clothing,1,2016-05-25 00:00:00
551,sunglassjunkie,1,2016-05-25 00:00:00
552,henri-girl,1,2016-05-25 00:00:00
553,dragonfly-brand,1,2016-05-26 00:00:00
554,she-rambles,0,2016-05-26 00:00:00
555,case-mate,1,2016-05-26 00:00:00
556,the-wrap-life,0,2016-05-27 00:00:00
557,liquidoaus,1,2016-05-27 00:00:00
558,album-surfboards,0,2016-05-27 00:00:00
559,gypsea-swimwear,0,2016-05-28 00:00:00
560,tiny-trendsetter,1,2016-05-29 00:00:00
561,juliette-hogan,1,2016-05-29 00:00:00
562,theartling,0,2016-05-30 00:00:00
563,glitterista,1,2016-05-30 00:00:00
564,snaply,0,2016-05-30 00:00:00
565,fashion-to-figure,1,2016-05-30 00:00:00
566,odina,1,2016-05-31 00:00:00
567,emmatika,1,2016-06-01 00:00:00
568,sokoloff-lingerie,1,2016-06-01 00:00:00
569,ohana-swim,0,2016-06-01 00:00:00
570,umoro,0,2016-06-02 00:00:00
571,reddressboutique,1,2016-06-02 00:00:00
572,always-riding,0,2016-06-02 00:00:00
573,goodhyouman,1,2016-06-02 00:00:00
574,impressions,1,2016-06-03 00:00:00
575,campbound,0,2016-06-03 00:00:00
576,crave-yard-store,0,2016-06-06 00:00:00
577,lablancaswim,1,2016-06-06 00:00:00
578,valley-eyewear,1,2016-06-07 00:00:00
579,aviator-nation-ig,1,2016-06-07 00:00:00
580,necessaryclothing,1,2016-06-08 00:00:00
581,baredfootwear,1,2016-06-08 00:00:00
582,palmaira-sandals-australia,1,2016-06-08 00:00:00
