 sollis                             , ShopClick               ,3,8,28
 tervis                             , ShopClick               ,3,8,23
 tervis                             , ShopClick               ,3,8,25
 vissla                             , ShopClick               ,3,8,5
 vissla                             , ShopClick               ,3,8,22
 vissla                             , ShopClick               ,3,8,24
 vonhey                             , ShopClick               ,3,8,5
 2xu-usa                            , ShopClick               ,3,8,24
 2xu-usa                            , ShopClick               ,3,8,28
 KaiKini                            , ShopClick               ,3,8,15
 KaiKini                            , ShopClick               ,3,8,28
 Nialaya                            , ShopClick               ,3,8,28
 SOUFEEL                            , ShopClick               ,3,8,14
 SOUFEEL                            , ShopClick               ,3,8,18
 SOUFEEL                            , ShopClick               ,3,8,19
 SOUFEEL                            , ShopClick               ,3,8,21
 booriva                            , ShopClick               ,3,8,16
 brixton                            , ShopClick               ,3,8,1
 bychari                            , ShopClick               ,3,8,4
 bychari                            , ShopClick               ,3,8,22
 colette                            , ShopClick               ,3,8,28
 corello                            , ShopClick               ,3,8,8
 corello                            , ShopClick               ,3,8,14
 corello                            , ShopClick               ,3,8,23
 decades                            , ShopClick               ,3,8,11
 decades                            , ShopClick               ,3,8,18
 decades                            , ShopClick               ,3,8,25
 decades                            , ShopClick               ,3,8,31
 embella                            , ShopClick               ,3,8,3
 emprada                            , ShopClick               ,3,8,2
 emprada                            , ShopClick               ,3,8,3
 emprada                            , ShopClick               ,3,8,7
 emprada                            , ShopClick               ,3,8,9
 emprada                            , ShopClick               ,3,8,20
 emprada                            , ShopClick               ,3,8,24
 et-vous                            , ShopClick               ,3,8,21
 furbish                            , ShopClick               ,3,8,12
 furbish                            , ShopClick               ,3,8,15
 glambot                            , ShopClick               ,3,8,25
 groovys                            , ShopClick               ,3,8,17
 groovys                            , ShopClick               ,3,8,24
 groovys                            , ShopClick               ,3,8,27
 groovys                            , ShopClick               ,3,8,29
 huxbaby                            , ShopClick               ,3,8,7
 huxbaby                            , ShopClick               ,3,8,25
 jag_aus                            , ShopClick               ,3,8,26
 jag_aus                            , ShopClick               ,3,8,30
 leahray                            , ShopClick               ,3,8,17
 let-liv                            , ShopClick               ,3,8,12
 let-liv                            , ShopClick               ,3,8,15
 lot2029                            , ShopClick               ,3,8,11
